[人物A]は見知らぬ部屋で目を覚ます。目の前には同じ境遇の[人物B]。両者の間には拳銃の置かれたテーブル。天井のスピーカーから、ゲームマスター「[人物C]」によって無慈悲なゲームの始まりが告げられた。,次回、「賽は投げられた」,敗北、すなわち”死”！
社会全ての業務が自律ロボット「[人物A]」によって処理される未来。ある日、大手企業のCEOである[人物B]が何者かに殺された。フリージャーナリストの[人物C]は独自に調査を開始するが、その事件にはある秘密があった…,次回、「われはロボット」,「ロボットにも魂があります。そう思います」
製薬会社員の[人物A]は、ある日偶然調合した新薬によって容姿端麗な人物に変身してしまう。薬の力を借りて、思いを寄せる[人物B]に猛アタック！全てがうまく行きはじめたとき、とっさに名乗った偽名「[人物C]」の人格が芽生えていき…。,次回、「[人物A]と[人物C]」,二人の運命やいかに!?
[人物C]博士のクローン実験の失敗で、[人物B]のクローンが大量発生！クローン[人物B]は邪悪な知性を宿し、全人類を[人物B]に変えようと企む。[人物B]軍に挑む、博士の助手・[人物A]はその野望を打ち砕けるか!?,次回、「[人物A] VS クローン[人物B]」,迫るクローン[人物B]軍を殲滅せよ!!
刑事・[人物A]は詐欺師・[人物B]を追って、霧深い田舎へとやって来た。そこで、古びたホテルへと立ち入る[人物B]を目撃するが、ホテルの人間は皆「そんな人間は見ていない」と言う。行き詰まる[人物A]の前に[人物C]を名乗る謎の人物が現れて…。,次回、「霧の逃避行」,答えは霧の中にある。
夏の甲子園。バットを構えるのはエース・[人物A]。病床の恩師[人物C]に報いるには、優勝あるのみ。しかし、わずか一回表で、彼の両腕は敵将・[人物B]の恐るべき殺人投法によって無残にも破壊されてしまう！,次回、「ホームランなくして優勝なし」,唸れバット！弾けろ硬球！
ある夏の昼下がり、[人物A]は小学生時代の同級生・[人物B]に会い、次々に懐かしい思い出を語り合う。しかし、その中で口にした「[人物C]」という人物についての記憶は、ふたりの中からすっぽりと抜け落ちていた…。,次回、「誰がために名を探す」,なくした記憶が示す真実とは。
宇宙中の命知らずが集うロボットレース「アイアン・スプリント」。チャンピオン・[人物C]の血を引く[人物A]はこの過酷な殺人レースに挑むも惨敗。クラッシュした機体を運んだ廃棄場で、旧世紀の名機・「[人物B]」を見つけ、リベンジを決意する！,次回、「アイアン・スプリント」,加速せよ、魂！
八咫烏が住むと昔から伝えられる森に迷い込んだ[人物A]と[人物C]。抜け出そうともがくが同じところを回り続ける。そこに現れたのは5年前に他界した[人物B]。戸惑う二人に差し出された[人物B]の手は…。,次回、「八咫烏の森」,[人物B]は二人をどこへ導くのか！
[人物B]から、実は[人物A]と異父兄弟だと告げられた[人物C]。[人物A]の家といえば町一番の大金持ちではないか。何故、[人物B]はそんなことを言うのか？根拠を問い詰める[人物C]に[人物B]は意外な事実を話し始める。,次回、「偽りの兄弟」,真実は母のみぞ知る
